comment,clean_comment,sentiment
27/8/2025 main kon dekh raha hai 😊😊,main kon dekh raha hai,Neutral
I love you Aayushi Murad nagar vali 😂❤,love aayushi murad nagar vali,Positive
My favourite ♥️,favourite,Neutral
🥹❤️‍🩹,,Neutral
Listening to this song reminds me of KK Sir 🥺💔,listening song reminds kk sir,Positive
Listening in 2025,listening,Neutral
My adorable stella ❤️🫂,adorable stella,Positive
August 26. 2025,august,Neutral
❤,,Neutral
😅😅😅,,Neutral
From Kathmandu,kathmandu,Neutral
"Writing form Bangladesh. KK, really a lord of music",writing form bangladesh kk really lord music,Positive
song  nice,song nice,Positive
Anyone in 2027.❤,anyone,Neutral
It's an emotion ❤,emotion,Neutral
3:10 🙂,,Neutral
😢,,Neutral
2025 ❤️‍🩹,,Neutral
😅 logon ke saath khel rahi ho😊,logon ke saath khel rahi ho,Neutral
2:16,,Neutral
2:21,,Neutral
Anyone in 2025??,anyone,Neutral
Sabka favourite song❤❤❤❤,sabka favourite song,Neutral
Nice song hai ❤❤❤,nice song hai,Positive
1,,Neutral
अब तेरी एक बहन भी है दो बच्चों कीमां,,Neutral
तू लौट कर आज सब कुछ छोड़ दूंगा पहाड़गंज वाली प्रीति मेरीजान,,Neutral
आई लव यू प्रीति पहाड़गंज वाली,,Neutral
25.08.2025,,Neutral
❤️‍🩹❤️‍🩹❤️‍🩹🌹,,Neutral
"Dhokha na usne diya na mene 🥺
Bas ghar valo ke vajh se alag hona padha 🥹
.
.
.
.
Aaj bhi uski bht yaad aati hai per kya kar sakte hai 🥹
.
Ghar valo ki izzat ka bhi sawal rehta hai 🥹
Me khuda se ya hi kehna  kese kar ke mujhe vo shaks de de 🥹

Per kisnat kitne kharab hai 🥹
Mujhe vo namazo me bhi nhi mila 😭

Kya kar sakte hai 🥹
Uske bina sab adhura sa lagata ha 🥹

Lekin dheere dheere adat ho jayegi uske bina rehne ki 🥹",dhokha na usne diya na mene ba ghar valo ke vajh se alag hona padha aaj bhi uski bht yaad aati hai per kya kar sakte hai ghar valo ki izzat ka bhi sawal rehta hai khuda se ya hi kehna kese kar ke mujhe vo shaks de de per kisnat kitne kharab hai mujhe vo namazo bhi nhi mila kya kar sakte hai uske bina sab adhura sa lagata ha lekin dheere dheere adat ho jayegi uske bina rehne ki,Positive
হাত টা থেমে গেলো.........😢,,Neutral
kk sir forever alive in our hearts ❤❤❤❤,kk sir forever alive heart,Positive
Missing my college life,missing college life,Neutral
kk lover❤❤❤❤,kk lover,Positive
2:12 hit ❤,hit,Neutral
Jhoan shab ka shayari ki kasa bhul jao tumaha tume mare jindegi ki addat ho tume mare. Jindegi ke aakhire mohobat ho 😢😢,jhoan shab ka shayari ki kasa bhul jao tumaha tume mare jindegi ki addat ho tume mare jindegi ke aakhire mohobat ho,Neutral
❤ love this voice,love voice,Positive
Kon kon aaj aaya hai #kk sir ki birthday date mein unki song sunne,kon kon aaj aaya hai sir ki birthday date mein unki song sunne,Neutral
❤,,Neutral
I miss you saheba 😅,miss saheba,Neutral
❤❤,,Neutral
My first Song ❤🤞🏻🤞🏻🥰❤️‍🔥💐,first song,Neutral
Kon kon 2025 me sun rah 😢,kon kon sun rah,Neutral
Kk God bless you ❤,kk god bless,Positive
Kk legend ❤,kk legend,Positive
Any female watch this song in 2025. Lets go for relationship,female watch song let go relationship,Neutral
Hard teaching song 🥹🥹🥹😛,hard teaching song,Neutral
Kkkk❤❤❤❤❤,kkkk,Neutral
Not interested,interested,Positive
❤❤❤❤❤,,Neutral
❤,,Neutral
😢😢😢 song is fill,song fill,Neutral
Old memories want to go back,old memory want go back,Neutral
This line🥺🥺,line,Neutral
1:28 just listen 🥰😍,listen,Neutral
2025 wale august wale like karo😊😊,wale august wale like karo,Positive
2025 august wale like karo❤❤😊😊,august wale like karo,Positive
3:33 feel this line,feel line,Neutral
Nice😢😢😢,nice,Positive
Anyone in August🫠,anyone august,Neutral
0:26 line😢❤❤❤,line,Neutral
❤❤,,Neutral
I love u 💓 forever,love u forever,Positive
Kk 😢,kk,Positive
Ye song mujhe kisi ki yaad dilati hai jab bhi sochti hu kash me wo pal fir se ji pati us k sath,ye song mujhe kisi ki yaad dilati hai jab bhi sochti hu kash wo pal fir se ji pati u k sath,Neutral
The masterpiece 🤌,masterpiece,Positive
💔,,Neutral
❤❤❤,,Neutral
Meri zindagi ke wo pal jo ab rabbit last ke nhi ae ge😢😢,meri zindagi ke wo pal jo ab rabbit last ke nhi ae ge,Neutral
अतिसुंदर सदाबहार गीत,,Neutral
2❤25❤,,Neutral
❤❤❤❤❤,,Neutral
Middle class me koi value na hai pyaar ka feeling ka 🌚,middle class koi value na hai pyaar ka feeling ka,Positive
"Dil tuth ne waalo ke lia sare song ek jagah aur. 

imran Hashmi ke ek jagah. 

I am  big fan",dil tuth ne waalo ke lia sare song ek jagah aur imran hashmi ke ek jagah big fan,Positive
🥺❤️,,Neutral
🎉😊😢,,Neutral
🎉😊😢,,Neutral
16 August 2025😅,august,Neutral
❤❤❤❤❤,,Neutral
Who is here after watching reel😅😂,watching reel,Neutral
Maar Diya usne 👰🫵,maar diya usne,Neutral
Feel this voice 😴,feel voice,Neutral
"The song 👌
The music 👌👌
The singer 👌👌👌
Truly a masterpiece 👌👌👌👌",song music singer truly masterpiece,Positive
Nice song ❤❤❤❤❤,nice song,Positive
5:17❤,,Neutral
1.32,,Neutral
❤❤❤❤❤❤,,Neutral
Aaj 15 August 2025 me Aya gana son ha hou,aaj august aya gana son ha hou,Positive
Aaj 15 August 2025 me Aya gana son ha hou,aaj august aya gana son ha hou,Positive
Aaj 15 August 2025 me Aya gana son ha hou,aaj august aya gana son ha hou,Positive
Himeshreshmiya Peopular song Indian best one piece song,himeshreshmiya peopular song indian best one piece song,Positive
What has happened to pritam?he was a genius music composer back then 😢,happened pritamhe genius music composer back,Neutral
Emran Hashmi + KK = ❤❤❤,emran hashmi kk,Positive
Emran Hashmi + KK = 🔥🔥🔥,emran hashmi kk,Positive
I love you kk sir miss u ❤❤❤❤❤,love kk sir miss u,Positive
Movie ka nam kiya,movie ka nam kiya,Neutral
1:17 ❤,,Neutral
All time favourite,time favourite,Neutral
Kk sir legend❤,kk sir legend,Positive
Dil ibadat My fav. Song ❤❤,dil ibadat fav song,Positive
"Lovely song kk sir 
We miss you 💖",lovely song kk sir miss,Positive
😊,,Neutral
Dekhne se acche sunne me maza aata hai    ❤❤❤❤,dekhne se acche sunne maza aata hai,Neutral
super,super,Positive
❤❤❤❤,,Neutral
1:24 1:28 1:29 1:29 1:29 1:29 1:29 1:30 1:30 1:30 1:30 1:31 1:32 1:32 1:32 1:33 1:33 1:34 1:34 1:34 1:34 1:34 1:35 1:35 1:35 1:35 1:36 1:36 1:36 1:36 1:36 1:37 1:37,,Neutral
Emotional 😭💔 song ❤❤,emotional song,Neutral
1:45,,Neutral
This song is❤,song,Neutral
Still listening ❤️❤️,still listening,Neutral
😅😅 sw .,sw,Neutral
Very favorite song,favorite song,Positive
12 August ❤,august,Neutral
Feel this line 1.30,feel line,Neutral
Emraan Hashmi my favourite song❤❤,emraan hashmi favourite song,Neutral
"MIND WANTS PEACE 🤎
HEART WANTS HER ❤️‍🩹",mind want peace heart want,Positive
"This line soul touching aa,aa,aa,aa sang hun tere 🥺",line soul touching aaaaaaaa sang hun tere,Neutral
❤❤❤ most lovely song 💖,lovely song,Positive
5:23 😢,,Neutral
60,,Neutral
Shonu😊❤,shonu,Neutral
Sag hu tere ❤❤😊😊,sag hu tere,Neutral
